gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4901377642	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/392564003/original.jpeg	https://www.inaturalist.org/photos/392564003					2024-06-05T18:35:29Z	Paula Romano		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Paula Romano
4901037290	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396107124/original.jpg	https://www.inaturalist.org/photos/396107124					2024-06-11T15:43:39Z	Célio Moura Neto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Célio Moura Neto
4901037290	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396107107/original.jpg	https://www.inaturalist.org/photos/396107107					2024-06-11T15:43:32Z	Célio Moura Neto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Célio Moura Neto
4901037290	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396107117/original.jpg	https://www.inaturalist.org/photos/396107117					2024-06-11T15:43:21Z	Célio Moura Neto		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Célio Moura Neto
4900940033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370919550/original.jpeg	https://www.inaturalist.org/photos/370919550					2024-04-26T19:52:54Z	Carla Cristina Frezzatti de Oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carla Cristina Frezzatti de Oliveira
4900940033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370920088/original.jpeg	https://www.inaturalist.org/photos/370920088					2024-04-26T19:52:08Z	Carla Cristina Frezzatti de Oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carla Cristina Frezzatti de Oliveira
4900940033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370919806/original.jpeg	https://www.inaturalist.org/photos/370919806					2024-04-26T19:52:27Z	Carla Cristina Frezzatti de Oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carla Cristina Frezzatti de Oliveira
4900940033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370920517/original.jpeg	https://www.inaturalist.org/photos/370920517					2024-04-26T19:51:00Z	Carla Cristina Frezzatti de Oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carla Cristina Frezzatti de Oliveira
4900940033	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/370920279/original.jpeg	https://www.inaturalist.org/photos/370920279					2024-04-26T19:51:55Z	Carla Cristina Frezzatti de Oliveira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Carla Cristina Frezzatti de Oliveira
4900929529	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/392594979/original.jpeg	https://www.inaturalist.org/photos/392594979					2024-06-02T15:57:20Z	jennifer_vieira		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jennifer_vieira
4892027670	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/392541230/original.jpg	https://www.inaturalist.org/photos/392541230					2024-06-09T19:46:35Z	gigliana		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	gigliana
4891701236	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/386868509/original.jpeg	https://www.inaturalist.org/photos/386868509					2024-05-26T20:15:46Z	Rafaela Rodrigues Lapa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rafaela Rodrigues Lapa
4891701236	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/386868549/original.jpeg	https://www.inaturalist.org/photos/386868549					2024-05-26T20:15:41Z	Rafaela Rodrigues Lapa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rafaela Rodrigues Lapa
4875544223	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/386969084/original.jpeg	https://www.inaturalist.org/photos/386969084					2021-12-02T13:16:44Z	amsneco		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	amsneco
4875541828	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/389588589/original.jpg	https://www.inaturalist.org/photos/389588589					2012-07-02T02:36:00Z	Leonardo Merçon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Leonardo Merçon
